label,Mgas,Mgas_method,Mgas_source,M*,M*_method,M*_source,Mvir,M,RA,DEC,v,u_v,r
C1,16.46082373224131,CO43,Hill_2020,7.054638742389133,fgas=0.7,Hill_2020,705.4638742389133,728.9793367135437,23:49:42.65,−56:38:19.4,15.0,4.0,33.60219451424426
C2,4.609030645027567,CO43,Hill_2020,6.5,SEDfit,Hill_2021,650.0,661.1090306450276,23:49:43.25,−56:38:30.1,-544.0,2.0,56.809306069663556
C3,9.437538939818351,CO43,Hill_2020,4.044659545636437,fgas=0.7,Hill_2020,404.46595456364366,417.94815304909844,23:49:42.78,−56:38:23.8,-86.0,11.0,11.884416257140666
C4,6.584329492896524,CO43,Hill_2020,2.8218554969556533,fgas=0.7,Hill_2020,282.1855496955653,291.5917346854175,23:49:41.41,−56:38:22.5,-83.0,13.0,68.49414691559237
C5,2.4142541473953925,CO43,Hill_2020,1.0346803488837397,fgas=0.7,Hill_2020,103.46803488837398,106.91696938465311,23:49:42.13,−56:38:25.8,235.0,6.0,28.338763798314453
C6,7.462240091949393,CO43,Hill_2020,13.9,SEDfit,Hill_2021,1390.0,1411.3622400919494,23:49:42.84,−56:38:25.1,471.0,3.0,16.432908567241235
C7,2.1947764976321746,CO43,Hill_2020,0.9406184989852178,fgas=0.7,Hill_2020,94.06184989852177,97.19724489513916,23:49:42.96,−56:38:18.1,631.0,3.0,47.81393100631886
C8,5.267463594317219,CO43,Hill_2020,5.0,SEDfit,Hill_2021,500.0,510.26746359431723,23:49:41.22,−56:38:24.6,-22.0,4.0,78.52482081016927
C9,1.9752988478689573,CO43,Hill_2020,0.846556649086696,fgas=0.7,Hill_2020,84.6556649086696,87.47752040562526,23:49:42.22,−56:38:28.1,153.0,6.0,34.47523635669707
C10,2.4142541473953925,CO43,Hill_2020,1.0346803488837397,fgas=0.7,Hill_2020,103.46803488837398,106.91696938465311,23:49:43.45,−56:38:26.2,-819.0,6.0,52.27123876652858
C11,0.6584329492896523,CO43,Hill_2020,2.0,SEDfit,Hill_2021,200.0,202.65843294928965,23:49:42.36,−56:38:25.7,-409.0,6.0,16.594976430849396
C12,2.225447699583987,Cii,Hill_2020,0.9537632998217088,fgas=0.7,Hill_2020,95.37632998217089,98.55554098157658,23:49:42.86,−56:38:23.9,-615.0,7.0,16.331769743518212
C13,1.7558211981057399,CO43,Hill_2020,0.7524947991881743,fgas=0.7,Hill_2020,75.24947991881743,77.75779591611135,23:49:42.73,−56:38:25.1,264.0,17.0,10.905644744187718
C14,0.43895529952643497,CO43,Hill_2020,2.4,SEDfit,Hill_2021,240.0,242.83895529952645,23:49:43.27,−56:38:23.1,101.0,5.0,40.5897266816909
C15,1.4015224062265565,Cii,Hill_2020,1.2,SEDfit,Hill_2021,120.0,122.60152240622655,23:49:41.42,−56:38:14.9,-107.0,8.0,93.18853283668597
C16,0.9428423460069564,Cii,Hill_2020,0.40407529114583846,fgas=0.7,Hill_2020,40.407529114583845,41.75444675173664,23:49:42.73,−56:38:25.8,231.0,16.0,14.391738972409136
C17,0.7899489926004228,Cii,Hill_2020,1.5,SEDfit,Hill_2021,150.0,152.28994899260042,23:49:43.406,-56:38:20.93,49.0,7.0,52.84902104039016
C18,0.7304904662756598,Cii,Hill_2020,0.6,SEDfit,Hill_2021,60.0,61.33049046627566,23:49:41.67,−56:38:13.9,-328.0,13.0,88.9792667035185
C20,0.4331978346518448,Cii,Hill_2020,2.5,SEDfit,Hill_2021,250.0,252.93319783465185,23:49:42.28,−56:38:24.0,-557.0,8.0,17.300570150464633
C21,0.29729263162381503,Cii,Hill_2020,0.12741112783877787,fgas=0.7,Hill_2020,12.741112783877787,13.16581654334038,23:49:43.01,−56:38:27.0,124.0,7.0,31.832762932179563
C22,0.2803044812453113,Cii,Hill_2020,0.12013049196227629,fgas=0.7,Hill_2020,12.013049196227628,12.413484169435216,23:49:42.51,−56:38:27.4,163.0,3.0,22.996596340461647
C23,0.23783410529905205,Cii,Hill_2020,0.10192890227102232,fgas=0.7,Hill_2020,10.192890227102232,10.532653234672306,23:49:42.61,−56:38:26.7,112.0,6.0,17.83928841422739
LBG3,0.26,SFR,Rotermund_2021,1.0,SEDfit,Hill_2021,100.0,101.26,23:49:42.703,-56:38:28.97,,,34.39279404429442
LBG2,0.23399999999999999,SFR,Rotermund_2021,0.10028571428571428,fgas=0.7,Rotermund_2021,10.028571428571428,10.362857142857143,23:49:43.340,-56:38:29.90,,,59.51943122339632
A-north,0.04179742773029011,Cii,Nik,0.017913183312981477,fgas=0.7,Nik,1.7913183312981478,1.8510289423414195,23:49:42.57,-56:38:15.864,281.2,3.9,58.1051764599934
A-south,0.1052675957651751,Cii,Nik,0.045114683899360755,fgas=0.7,Nik,4.511468389936075,4.661850669600611,23:49:42.58,-56:38:20.738,407.2,18.6,23.984952552452995
N-west,0.06463120769405971,Cii,Nik,0.027699089011739876,fgas=0.7,Nik,2.7699089011739875,2.862239197879787,23:49:43.15,-56:38:22.193,-63.4,9.6,35.74299696668174
South5,0.025542872501843956,Cii,Nik,0.010946945357933125,fgas=0.7,Nik,1.0946945357933124,1.1311843536530894,23:49:42.67,-56:38:27.748,-60.6,6.6,25.629729961751796
E-south,0.16448061838308609,Cii,Nik,0.07049169359275119,fgas=0.7,Nik,7.049169359275119,7.284141671250956,23:49:41.14,-56:38:26.678,16.1,18.1,84.92639022295053
F-east,0.0596000358376359,Cii,Nik,0.02554287250184396,fgas=0.7,Nik,2.554287250184396,2.6394301585238757,23:49:41.53,-56:38:21.444,-85.4,9.4,63.490588138563055
